[13:06:15] [ServerMain/INFO]: Building unoptimized datafixer
[13:06:17] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[13:06:17] [ServerMain/INFO]: Found new data pack file/bukkit, loading it automatically
[13:06:20] [ServerMain/INFO]: Loaded 7 recipes
[13:06:23] [Server thread/INFO]: Starting minecraft server version 1.19
[13:06:23] [Server thread/INFO]: Loading properties
[13:06:23] [Server thread/INFO]: Default game type: SURVIVAL
[13:06:23] [Server thread/INFO]: Generating keypair
[13:06:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:06:24] [Server thread/INFO]: Using epoll channel type
[13:06:24] [Server thread/INFO]: This server is running CraftBukkit version 3551-Bukkit-9a8e080 (MC: 1.19) (Implementing API version 1.19-R0.1-SNAPSHOT)
[13:06:24] [Server thread/INFO]: Preparing level "world"
[13:07:57] [Worker-Main-3/INFO]: Preparing spawn area: 96%
[13:07:57] [Worker-Main-3/INFO]: Preparing spawn area: 98%
[13:07:58] [Worker-Main-3/INFO]: Preparing spawn area: 99%
[13:07:58] [Server thread/INFO]: Time elapsed: 62581 ms
[13:07:58] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[13:07:59] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:07:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:07:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:08:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:08:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:08:01] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[13:08:01] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[13:08:02] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[13:08:02] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[13:08:03] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[13:08:03] [Worker-Main-3/INFO]: Preparing spawn area: 5%
[13:08:04] [Worker-Main-3/INFO]: Preparing spawn area: 6%
[13:08:04] [Worker-Main-1/INFO]: Preparing spawn area: 8%
[13:08:04] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[13:08:05] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[13:08:06] [Worker-Main-3/INFO]: Preparing spawn area: 11%
[13:08:06] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[13:08:06] [Worker-Main-3/INFO]: Preparing spawn area: 15%
[13:08:07] [Worker-Main-3/INFO]: Preparing spawn area: 17%
[13:08:07] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[13:08:08] [Worker-Main-1/INFO]: Preparing spawn area: 21%
[13:08:09] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[13:08:09] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[13:08:09] [Worker-Main-3/INFO]: Preparing spawn area: 27%
[13:08:10] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[13:08:10] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[13:08:11] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[13:08:12] [Worker-Main-3/INFO]: Preparing spawn area: 36%
[13:08:12] [Worker-Main-3/INFO]: Preparing spawn area: 38%
[13:08:12] [Worker-Main-3/INFO]: Preparing spawn area: 41%
[13:08:13] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[13:08:14] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[13:08:14] [Worker-Main-1/INFO]: Preparing spawn area: 47%
[13:08:15] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[13:08:15] [Worker-Main-3/INFO]: Preparing spawn area: 52%
[13:08:15] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[13:08:16] [Worker-Main-3/INFO]: Preparing spawn area: 56%
[13:08:17] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[13:08:17] [Worker-Main-1/INFO]: Preparing spawn area: 61%
[13:08:18] [Worker-Main-1/INFO]: Preparing spawn area: 63%
[13:08:18] [Worker-Main-1/INFO]: Preparing spawn area: 65%
[13:08:18] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[13:08:19] [Worker-Main-3/INFO]: Preparing spawn area: 70%
[13:08:19] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[13:08:20] [Worker-Main-3/INFO]: Preparing spawn area: 74%
[13:08:20] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[13:08:21] [Worker-Main-3/INFO]: Preparing spawn area: 78%
[13:08:22] [Worker-Main-3/INFO]: Preparing spawn area: 82%
[13:08:22] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[13:08:22] [Worker-Main-3/INFO]: Preparing spawn area: 85%
[13:08:23] [Worker-Main-3/INFO]: Preparing spawn area: 87%
[13:08:23] [Worker-Main-3/INFO]: Preparing spawn area: 89%
[13:08:24] [Worker-Main-3/INFO]: Preparing spawn area: 91%
[13:08:25] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[13:08:25] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[13:08:26] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[13:08:26] [Server thread/INFO]: Time elapsed: 27539 ms
[13:08:26] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[13:08:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:08:26] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[13:08:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[13:08:27] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[13:08:28] [Worker-Main-1/INFO]: Preparing spawn area: 6%
[13:08:28] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[13:08:29] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[13:08:29] [Worker-Main-3/INFO]: Preparing spawn area: 37%
[13:08:30] [Worker-Main-3/INFO]: Preparing spawn area: 54%
[13:08:30] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[13:08:31] [Worker-Main-3/INFO]: Preparing spawn area: 86%
[13:08:31] [Server thread/INFO]: Time elapsed: 5330 ms
[13:08:31] [Server thread/INFO]: Done (126.623s)! For help, type "help"
[13:08:44] [Server thread/INFO]: Stopping server
[13:08:44] [Server thread/INFO]: Saving players
[13:08:44] [Server thread/INFO]: Saving worlds
[13:08:50] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[13:08:55] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world_nether]'/minecraft:the_nether
[13:08:55] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world_the_end]'/minecraft:the_end
[13:08:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[13:08:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[13:08:55] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[13:08:55] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
